高铁/火车站名称,餐厅编码,餐厅名称,状态,套餐类型,套餐内容,套餐供应时间,城市,站点类型,境内外,国家,省份,安检类型,位置指引
北京南站,N04591,真功夫,正常使用,餐食体验厅,"饮品：【四季猪骨汤/金杏蜜桃汁/百事可乐/热豆浆 * 1】,配菜：【生菜王/西兰花 * 1,香滑蒸蛋/外婆菜 * 1】,主食：【排骨拼鸡腿肉饭/冬(香)菇鸡腿肉饭/酸菜卤肉饭/鱼香茄子饭/土豆烧肉饭 * 1】",10点后-营业结束,北京市,高铁,境内,中国,北京市,安检后,5A检票口旁
南昌西站,N04627,大食头南昌瓦罐汤,正常使用,餐食体验厅,"汤品：【瓦罐汤 * 1】,饮品：【可乐 * 1】,主食：【牛肉拌粉 * 1,小菜 * 1】",06:30-21:00,南昌市,高铁,境内,中国,江西省,安检后,换乘区，A1、A2检票口楼下，东1东2旁
成都东站,N04638,王春春鸡汤饭,正常使用,餐食体验厅,"配菜：【卤鸡腿 * 1,卤蛋*2 * 2,酸菜*2 * 2,萝卜干*2 * 2】,主食：【姬松茸鸡汤饭 * 1】",08:00-20:00,成都市,高铁,境内,中国,四川省,安检后,A26检票口楼上
韶关站,N04640,蒙自源米线,正常使用,餐食体验厅,"小食：【馋嘴椒香鸡翅 * 1,手工牛肉饼 * 1,煎蛋 * 1】,主食：【原汤一品土鸡米线 * 1】",08:00-20:00,韶关市,高铁,境内,中国,广东省,安检后,检票口1旁边
韶关站,N04641,徐大川剁椒猪脚饭,正常使用,餐食体验厅,"饮品：【雪碧 * 1】,配菜：【四点金 * 1,煎蛋 * 1】,主食：【烧鸭饭 * 1】",08:00-20:00,韶关市,高铁,境内,中国,广东省,安检后,检票口1旁边
重庆西站,N04676,煎饼道(检票口21B、22B楼上旁边),正常使用,餐食体验厅,"饮品：【豆浆 * 1,小米粥 * 1】,主食：【原味肉松煎饼 * 1,香酥鸡柳煎饼 * 1】",08:00-20:00,重庆市,高铁,境内,中国,重庆市,安检后,检票口21B、22B楼上旁边
成都东站,N04678,煎饼道(检票口A26楼上),正常使用,餐食体验厅,"饮品：【豆浆 * 1,小米粥 * 1】,主食：【原味肉松煎饼 * 1,香酥鸡柳煎饼 * 1】",08:00-20:00,成都市,高铁,境内,中国,四川省,安检后,检票口A26楼上
襄阳东站,N04699,遇见小面,正常使用,餐食体验厅,"饮品：【可乐/酸梅汤（2选1） * 1】,配菜：【卤蛋 * 1】,主食：【超级碗(多拼浇头面) * 1】",07:00-21:00,襄阳市,高铁,境内,中国,湖北省,安检后,候车大厅4B检票口楼上
宁波站,N04713,李先生牛肉面大王,正常使用,餐食体验厅,"饮品：【可乐 * 1】,配菜：【小菜3选 1（海带丝/土豆丝/油菜尖） * 1】,主食：【新疆番茄牛腩面 * 1】",07:00-22:00,宁波市,高铁,境内,中国,浙江省,安检后,4A、5A检票口附近
长沙南站,N04703,蒸浏记(安检前西广场),正常使用,餐食体验厅,"汤品：【海带猪骨汤/玉米猪骨汤 * 1】,配菜：【鸡汁油豆腐/百合蒸南瓜/白灼时蔬 * 1】,主食：【酱辣椒蒸肉 * 1,白米饭 * 1】",07:00-22:00,长沙市,高铁,境内,中国,湖南省,安检前,西广场出站口
