机场名称,餐厅编码,餐厅名称,餐厅状态,套餐类型,套餐内容,套餐供应时间,站点类型,航站楼,出发类型,安检类型,位置指引,境内外,机场编码,城市,省份
珠海金湾机场,N02016,陇兴楼(B区）,正常使用,餐食体验厅,"饮品：【柠檬果茶 * 1】,配菜：【香拌牛肉 * 1,肉夹馍 * 1,酸辣泡菜 * 1】,主食：【传统牛肉拉面 * 1,一次性餐具包 * 1】",07:30-21:30,机场,主航站楼,国内出发,安检后,B区14号登机口对面。,境内,ZUH,珠海市,广东省
三亚凤凰国际机场,N02507,供销食堂,正常使用,餐食体验厅,"饮品：【酸梅汤一杯 * 1】,小食：【红烧牛腩面 * 1,盐焗鸡一份 * 1,热狗肠一根 * 1】",06:00-21:00,机场,T1航站楼,国内出发,安检后,110登机口,境内,SYX,三亚市,海南省
三亚凤凰国际机场,N02512,粉仔巷2店,正常使用,餐食体验厅,"汤品：【盐焗鸡一份 * 1,热狗肠一根 * 1】,配菜：【酸梅汤一杯 * 1】,主食：【招牌猪软骨面 * 1】",06:00-21:00,机场,T1航站楼,国内出发,安检后,214登机口附近,境内,SYX,三亚市,海南省
武汉天河国际机场,N02100,陇兴楼兰州牛肉拉面(2W2-08店),正常使用,餐食体验厅,"饮品：【酸梅汁 * 1】,配菜：【酸豆角 * 1,肉夹馍 * 1,手撕鸡 * 1】,主食：【红烧牛肉面 * 1】",06:00-21:00,机场,T3航站楼,国内出发,安检后,26号登机口对面,境内,WUH,武汉市,湖北省
武汉天河国际机场,N02101,陇兴楼兰州牛肉拉面(2W1-05店),正常使用,餐食体验厅,"饮品：【酸梅汁 * 1】,配菜：【酸豆角 * 1,肉夹馍 * 1,手撕鸡 * 1】,主食：【红烧牛肉面 * 1】",06:00-21:00,机场,T3航站楼,国内出发,安检后,出发2层15-16号登机口旁,境内,WUH,武汉市,湖北省
兰州中川机场,N02102,东方宫牛肉拉面(CF-5店),正常使用,餐食体验厅,"配菜：【秘制现切牛肉 * 1,肉夹馍 * 1,小凉菜 * 1,三泡台 * 1】,主食：【红烧牛肉面 * 1】",07:00-21:00,机场,T1航站楼,国内出发,安检后,"安检旁,临近中转联程休息处",境内,LHW,兰州市,甘肃省
兰州中川机场,N02132,宽窄巷成都名小吃（115号店）,正常使用,餐食体验厅,"饮品：【酸梅汁 * 1】,小食：【肉夹馍 * 1,凉皮 * 1,葱油罗马生菜 * 1】,主食：【肥肠面 * 1】",07:00-21:00,机场,T2航站楼,国内出发,安检后,115登机口旁,境内,LHW,兰州市,甘肃省
沈阳桃仙国际机场,N02142,老边饺子,正常使用,餐食体验厅,"饮品：【冰爽红枣茶 * 1】,配菜：【口水鸡 * 1,土豆丝 * 1】,主食：【百年煸馅蒸饺 * 1】",05:00-21:00,机场,T3航站楼,国内出发,安检后,安检内右侧100米处,境内,SHE,沈阳市,辽宁省
大连周水子国际机场,N02145,味一楼拉面1店,正常使用,餐食体验厅,"饮品：【自制饮品(一杯) * 1】,配菜：【干切牛肉一份 * 1,土豆丝 * 1】,主食：【清汤牛肉面(茶叶蛋+花生米+辣白菜) * 1】",6:00-区域最晚航班,机场,T3航站楼,国内出发,安检后,隔离厅19号登机口对面,境内,DLC,大连市,辽宁省
大连周水子国际机场,N02146,猫婆小面,正常使用,餐食体验厅,"饮品：【奶茶 * 1】,配菜：【肥肠大份 * 1,辣白菜 * 1】,主食：【牛肉面套餐(花生米+红肠+海带丝) * 1】",6:00-区域最晚航班,机场,T3航站楼,国内出发,安检后,隔离厅41-45号登机口,境内,DLC,大连市,辽宁省
