机场名称,服务权益机构,龙腾网点编码,站点名称,省份,城市,机场编码,休息室名称,航站楼,安检类型,品质贵宾厅（是/否）,品质厅亮点,休息室位置,出发类型,服务内容,服务时长（小时）,营业时间
长沙黄花国际机场,"移动,全球通,移动全球通",N04868,长沙黄花国际机场,湖南省,长沙市,,南航明珠金银卡贵宾休息室（T2国内）,T2航站楼,安检后,是,航司休息室,安检后，38号登机口附近,国内出发,"休息室休息,小食,茶水/饮料",2小时,南航最早航班-南航最晚航班
三亚凤凰国际机场,"移动,全球通,移动全球通",N04869,三亚凤凰国际机场,海南省,三亚市,,南航头等舱公务舱明珠会员休息室（T2国内）,T2航站楼,安检后,是,头等舱同款, 安检后，217号登机口附近,国内出发,"休息室休息,小食,茶水/饮料",2小时,南航最早航班-南航最晚航班
海口美兰国际机场,"移动,全球通,移动全球通",N04870,海口美兰国际机场,海南省,海口市,,南航头等舱公务舱明珠会员休息室（T2国内）,T2航站楼,安检后,是,头等舱同款,安检后，32号登机口附近,国内出发,"休息室休息,小食,茶水/饮料",2小时,南航最早航班-南航最晚航班
南宁吴圩国际机场,"移动,全球通,移动全球通",N04871,南宁吴圩国际机场,广西壮族自治区,南宁市,,南航头等舱公务舱休息室（T2国内）,T2航站楼,安检后,是,头等舱同款,安检后，13，14号登机口附近,国内出发,"休息室休息,小食,茶水/饮料",2小时,南航最早航班-南航最晚航班
南宁吴圩国际机场,"移动,全球通,移动全球通",N04872,南宁吴圩国际机场,广西壮族自治区,南宁市,,南航明珠金银卡贵宾休息室（T2国内）,T2航站楼,安检后,是,航司休息室,安检后，13，14号登机口附近,国内出发,"休息室休息,小食,茶水/饮料",2小时,南航最早航班-南航最晚航班
郑州新郑国际机场,"移动,全球通,移动全球通",N04873,郑州新郑国际机场,河南省,郑州市,,南航V1头等舱公务舱休息室（T2国内）,T2航站楼,安检后,是,头等舱同款,安检后，217号登机口附近,国内出发,"休息室休息,小食,茶水/饮料",2小时,南航最早航班-南航最晚航班
郑州新郑国际机场,"移动,全球通,移动全球通",N04874,郑州新郑国际机场,河南省,郑州市,,南航V1明珠金银卡贵宾休息室（T2国内）,T2航站楼,安检后,是,航司休息室,安检后，217号登机口附近,国内出发,"休息室休息,小食,茶水/饮料",2小时,南航最早航班-南航最晚航班
珠海金湾机场,"移动,全球通,移动全球通",N04875,珠海金湾机场,广东省,珠海市,,南航头等舱公务舱明珠会员休息室,主航站楼,安检后,是,头等舱同款,安检后，1号登机口附近,国内出发,"休息室休息,小食,茶水/饮料",2小时,南航最早航班-南航最晚航班
重庆江北国际机场,"移动,全球通,移动全球通",N04876,重庆江北国际机场,重庆市,重庆市,,南航明珠金银卡贵宾休息室（T3国内）,T3航站楼,安检后,是,航司休息室,安检后，T3航站楼安检后G指廊入口处,国内出发,"休息室休息,小食,茶水/饮料",2小时,南航最早航班-南航最晚航班
南阳姜营机场,"移动,全球通,移动全球通",N04877,南阳姜营机场,河南省,南阳市,,南航头等舱公务舱明珠会员休息室,主航站楼,安检后,是,头等舱同款,安检后，2号登机口附近,国内出发,"休息室休息,小食,茶水/饮料",2小时,南航最早航班-南航最晚航班
南京禄口国际机场,"移动,全球通,移动全球通",N04878,南京禄口国际机场,江苏省,南京市,,南航V5头等舱公务舱休息室（T1国内）,T1航站楼,安检后,是,头等舱同款,安检后，115号登机口对面,国内出发,"休息室休息,小食,茶水/饮料",2小时,南航最早航班-南航最晚航班
南京禄口国际机场,"移动,全球通,移动全球通",N04879,南京禄口国际机场,江苏省,南京市,,南航V5明珠金银卡贵宾休息室（T1国内）,T1航站楼,安检后,是,航司休息室,安检后，115号登机口对面,国内出发,"休息室休息,小食,茶水/饮料",2小时,南航最早航班-南航最晚航班
杭州萧山国际机场,"移动,全球通,移动全球通",N04881,杭州萧山国际机场,浙江省,杭州市,,南航头等舱公务舱休息室（T4国内）,T4航站楼,安检后,是,头等舱同款,安检后直行右转,国内出发,"休息室休息,小食,茶水/饮料",2小时,南航最早航班-南航最晚航班
襄阳刘集机场,"移动,全球通,移动全球通",N04883,襄阳刘集机场,湖北省,襄阳市,,国内头等舱休息室服务,主航站楼,安检后,否,,安检内一楼头等舱（6号登机口边上）,国内出发,报刊杂志、广播提醒登机、小食、茶水/饮料、WiFi、航班信息咨询,2小时,08:00-22:00
昭苏天马机场,"移动,全球通,移动全球通",N04885,昭苏天马机场,新疆维吾尔自治区,昭苏,ZFL,两舱休息室,主航站楼,安检后,否,,安检内直行两舱休息室,国内出发,"休息室休息,小食,茶水/饮料",2小时,根据当日航班运行情况开厅
